event_id,timestamp,heart_rate,total_elapsed_time,altitude,total_distance,avg_running_cadence,total_calories,avg_speed,max_speed,total_ascent,total_descent,max_heart_rate
103,2018-03-24T14:52:41Z,146.5,928.223,180.7,3218.68,82.5,212.0,12.374676096687557,14.4792,166.0,290.0,177.0
104,2018-03-25T17:44:11Z,162.64705882352942,1907.136,176.58823529411765,7718.62,82.17647058823529,458.0,14.239866370502,17.9028,204.0,201.0,174.0
105,2018-03-28T12:57:22Z,159.5,945.723,175.0,3218.68,80.5,216.0,12.000210941704037,14.1768,252.0,265.0,199.0
106,2018-03-30T23:45:17Z,165.5,632.6479999999999,175.3,2177.92,83.0,157.0,12.14332602739726,16.0884,49.0,60.0,176.0
107,2018-04-23T23:47:02Z,162.33333333333334,1407.685,175.20000000000002,4828.0199999999995,84.0,305.0,12.977755932203388,18.1404,224.0,232.0,179.0
108,2018-04-28T12:11:04Z,166.07692307692307,13264.759,225.5076923076923,41842.84,81.96153846153847,2796.0,11.37052946687486,16.0236,1251.0,1260.0,248.0
109,2018-05-06T15:02:50Z,160.25,2537.322,174.4,6437.36,80.75,411.0,12.337876582914571,16.8948,191.0,241.0,174.0
110,2018-05-16T23:54:35Z,164.0,4454.702,179.0,4828.0199999999995,80.66666666666667,263.0,14.20249175946548,23.6124,121.0,146.0,182.0
111,2018-05-20T14:39:40Z,160.33333333333334,1327.028,182.9333333333333,4828.0199999999995,81.33333333333333,320.0,13.162301605839415,14.9796,98.0,124.0,194.0
112,2018-05-21T23:44:37Z,160.0,1345.0230000000001,175.13333333333333,4828.0199999999995,81.33333333333333,296.0,12.892708586184634,20.3904,167.0,170.0,176.0
114,2018-06-02T13:14:56Z,172.66666666666666,1145.176,181.6666666666667,4828.0199999999995,81.33333333333333,270.0,15.098703577512778,17.870400000000004,138.0,127.0,183.0
115,2018-06-03T16:18:21Z,148.66666666666666,1489.232,168.4666666666667,4828.0199999999995,81.66666666666667,328.0,12.23933169877408,17.737199999999998,220.0,215.0,170.0
116,2018-06-08T00:13:29Z,161.33333333333334,1298.6109999999999,184.79999999999998,4828.0199999999995,82.33333333333333,296.0,13.284777299412916,18.7452,167.0,165.0,175.0
117,2018-06-09T16:00:27Z,161.2,2307.357,187.12000000000003,8046.7,82.0,475.0,13.629241173730787,19.2816,291.0,300.0,172.0
118,2018-06-10T17:56:21Z,158.0,1742.76,177.35000000000002,6437.36,81.5,414.0,13.202976383342842,15.2496,311.0,330.0,173.0
119,2018-06-11T23:43:54Z,163.33333333333334,1259.263,183.0,4828.0199999999995,82.33333333333333,302.0,13.631787789473684,19.3464,145.0,133.0,176.0
120,2018-06-13T23:44:54Z,166.6875,2670.6459999999997,178.7625,5910.25,81.125,354.0,14.208955478433316,23.7132,145.0,159.0,184.0
121,2018-06-16T12:15:30Z,164.33333333333334,3940.66,188.36666666666667,9656.039999999999,81.66666666666667,584.0,13.99733103177717,17.265600000000003,231.0,233.0,178.0
122,2018-06-17T17:18:53Z,158.2,2296.146,167.44,8046.7,80.8,530.0,13.200963395709724,15.552,424.0,356.0,179.0
123,2018-06-18T23:44:44Z,145.83333333333334,2985.692,184.26666666666665,9656.039999999999,81.0,575.0,12.057457104194858,18.7092,254.0,270.0,164.0
124,2018-06-20T23:32:43Z,160.37037037037038,3472.978,183.37037037037038,10100.0,82.14814814814815,560.0,13.43178575739288,21.33,343.0,332.0,176.0
125,2018-06-23T16:46:35Z,159.16666666666666,3104.884,177.26666666666665,9656.039999999999,81.5,637.0,12.177062156448203,16.491600000000002,227.0,207.0,206.0
126,2018-06-24T17:16:51Z,168.66666666666666,2675.5829999999996,173.83333333333334,9656.039999999999,81.33333333333333,595.0,14.068105109489052,17.7696,186.0,191.0,177.0
127,2018-06-25T23:42:22Z,162.0,1258.726,189.26666666666668,4828.0199999999995,82.33333333333333,297.0,14.31782448979592,16.3908,161.0,144.0,176.0
128,2018-06-30T13:44:54Z,170.375,5021.133,176.95,12874.72,80.5,853.0,13.029638764044943,16.491600000000002,331.0,451.0,181.0
129,2018-07-01T16:21:03Z,159.5,1936.145,182.9,6437.36,80.25,431.0,12.28740476947536,14.544,164.0,145.0,166.0
130,2018-07-04T13:45:43Z,165.4,2122.2709999999997,172.88000000000005,8046.7,81.2,481.0,13.86289080675422,15.8868,204.0,194.0,180.0
131,2018-07-05T23:53:10Z,156.4,2229.89,184.16000000000003,8046.7,81.2,508.0,13.1578667268623,14.8788,274.0,274.0,165.0
132,2018-07-07T14:57:47Z,168.375,3698.445,173.67499999999998,12874.72,81.875,812.0,13.98886327077748,17.064,261.0,300.0,243.0
133,2018-07-08T19:04:43Z,160.33333333333334,4152.709,176.75555555555556,14484.06,82.11111111111111,940.0,13.304838567774937,19.1448,330.0,320.0,170.0
134,2018-07-09T23:46:09Z,153.33333333333334,1432.055,174.73333333333335,4828.0199999999995,81.0,313.0,12.447129142857143,15.1488,183.0,217.0,164.0
135,2018-07-11T11:09:58Z,160.16666666666666,1481.904,186.26666666666665,5217.67,82.66666666666667,251.0,15.85348535669587,23.2776,134.0,115.0,174.0
136,2018-07-14T18:07:01Z,141.5,964.095,164.0,3218.68,81.0,201.0,11.924171428571428,15.1164,110.0,138.0,152.0
137,2018-07-15T17:31:08Z,169.875,3785.797,166.90000000000003,12874.72,81.0,808.0,13.992242191780822,19.3824,287.0,288.0,180.0
138,2018-07-18T23:37:07Z,160.8,2349.383,177.34,9186.6,83.6,457.0,15.200629735234216,23.8824,180.0,225.0,178.0
139,2018-07-20T17:41:13Z,147.75,1975.281,164.55,6437.36,79.75,421.0,11.865756281920326,16.1568,204.0,222.0,158.0
140,2018-07-21T17:25:57Z,143.0,959.7429999999999,151.39999999999998,3218.68,81.0,210.0,12.42451570247934,14.2416,76.0,91.0,165.0
141,2018-07-23T23:43:48Z,163.33333333333334,1229.307,181.86666666666667,4828.0199999999995,81.0,287.0,14.40799349112426,18.846,298.0,220.0,170.0
142,2018-07-25T11:07:33Z,157.42857142857142,1835.9099999999999,169.8857142857143,4525.15,82.71428571428571,231.0,16.736818130311615,22.572,141.0,214.0,175.0
143,2018-07-28T17:49:40Z,160.9,4450.235000000001,174.76,16093.4,80.8,990.0,13.9156329004329,17.737199999999998,394.0,395.0,168.0
144,2018-07-30T23:45:57Z,157.0,1281.752,178.5333333333333,4828.0199999999995,81.33333333333333,284.0,13.992205128205129,25.5276,164.0,151.0,169.0
145,2018-08-01T11:07:09Z,156.875,1989.171,175.475,5188.219999999999,85.25,258.0,14.498590298507462,33.5232,133.0,141.0,174.0
146,2018-08-03T23:07:58Z,147.2,2255.957,186.92000000000002,8046.7,81.0,486.0,12.762581415929205,15.0156,240.0,212.0,161.0
147,2018-08-05T15:14:59Z,171.5,3859.368,180.5,12874.72,81.375,829.0,14.63450568181818,17.9028,287.0,297.0,184.0
148,2018-08-06T23:45:52Z,154.0,1328.44,185.53333333333333,4828.0199999999995,81.0,283.0,13.460601501706485,15.8544,200.0,174.0,167.0
149,2018-08-08T11:03:09Z,163.44444444444446,2524.614,181.57777777777775,9882.98,81.88888888888889,586.0,14.326306288343561,17.870400000000004,246.0,262.0,191.0
150,2018-08-11T16:36:57Z,137.75,1869.879,176.29999999999998,6437.36,80.75,389.0,12.811816109589042,14.4432,237.0,214.0,161.0
151,2018-08-12T16:35:13Z,156.26666666666668,3354.622,171.06666666666666,11700.4,81.4,714.0,12.770938585298195,19.4148,328.0,343.0,171.0
152,2018-08-15T11:11:01Z,159.125,2652.886,177.85,9776.09,80.875,582.0,14.139592806770098,20.592,205.0,344.0,174.0
153,2018-08-18T16:31:15Z,160.63636363636363,5501.331,178.6,17702.739999999998,81.45454545454545,1097.0,13.10153852509812,17.7696,621.0,575.0,171.0
154,2018-08-19T18:27:36Z,145.75,1900.934,173.2,6437.36,80.75,382.0,12.205391899000526,13.7736,340.0,325.0,160.0
155,2018-08-20T23:45:38Z,155.33333333333334,1227.4009999999998,177.33333333333337,4828.0199999999995,81.33333333333333,294.0,14.49656563876652,23.4468,131.0,138.0,172.0
156,2018-08-22T23:27:39Z,146.92857142857142,2720.068,175.22857142857146,8335.16,82.42857142857143,410.0,14.280486461178308,25.1928,113.0,133.0,173.0
157,2018-08-25T17:51:55Z,160.7,5851.128,184.84,16093.4,81.1,1003.0,13.133094560290118,15.5196,606.0,626.0,170.0
159,2018-08-30T12:42:16Z,144.0,1937.062,172.8,6437.36,81.0,394.0,12.919087982112911,16.2252,238.0,263.0,165.0
160,2018-09-01T17:26:01Z,157.4,2197.151,175.84,8046.7,80.6,518.0,12.99154185169669,19.2456,299.0,299.0,166.0
161,2018-09-02T15:50:53Z,167.33333333333334,6962.757,188.79999999999998,19312.079999999998,81.58333333333333,1247.0,12.94125434906197,17.737199999999998,744.0,758.0,185.0
162,2018-09-05T00:39:48Z,155.8,2244.274,181.76000000000002,8046.7,79.6,503.0,12.789398314855877,18.9792,262.0,238.0,169.0
163,2018-09-05T23:35:02Z,150.27272727272728,4801.617,171.1818181818182,14136.9,81.72727272727273,828.0,14.596321490280776,18.5436,380.0,433.0,175.0
164,2018-09-08T13:28:46Z,164.15384615384616,6048.12,176.07692307692307,20921.42,82.07692307692308,1281.0,14.590606074498568,20.4228,649.0,652.0,182.0
165,2018-09-10T23:51:37Z,163.0,1376.373,180.33333333333334,4828.0199999999995,80.66666666666667,283.0,13.694182125263898,17.298,196.0,181.0,169.0
166,2018-09-12T00:02:54Z,152.16666666666666,2637.969,164.79999999999998,9656.039999999999,81.0,589.0,13.236848646587879,17.6004,406.0,438.0,162.0
167,2018-09-16T15:36:18Z,160.86666666666667,7353.279,177.34666666666666,24140.1,81.4,1516.0,13.51426505576208,18.5436,570.0,582.0,171.0
168,2018-09-17T23:46:45Z,155.66666666666666,1307.391,175.33333333333334,4828.0199999999995,80.33333333333333,300.0,13.540633172746046,23.0436,202.0,175.0,167.0
169,2018-09-21T00:06:39Z,155.83333333333334,2886.8940000000002,165.5666666666667,9656.039999999999,79.66666666666667,629.0,12.410605284015851,17.197200000000002,293.0,286.0,163.0
170,2018-09-22T13:49:21Z,160.16666666666666,7742.33,203.54444444444442,28968.12,82.11111111111111,1776.0,13.388279767891683,23.9832,925.0,915.0,172.0
171,2018-09-24T23:46:06Z,146.0,1429.762,168.73333333333332,4828.0199999999995,80.0,280.0,12.694427532467534,16.5924,192.0,170.0,156.0
172,2018-09-27T00:42:22Z,156.5,2050.786,173.59999999999997,5911.2,79.75,364.0,13.423997301854977,30.5352,179.0,208.0,193.0
173,2018-09-29T15:40:17Z,165.5,2649.806,179.9666666666667,9656.039999999999,80.83333333333333,577.0,14.910913425129088,19.0116,208.0,273.0,182.0
174,2018-09-30T16:02:17Z,161.6,2207.063,171.35999999999999,8046.7,81.4,550.0,13.146272181818182,16.729200000000002,209.0,233.0,168.0
175,2018-10-01T23:49:00Z,153.33333333333334,1328.438,172.73333333333335,4828.0199999999995,80.66666666666667,281.0,13.496238620689658,19.8504,185.0,184.0,163.0
176,2018-10-03T23:35:01Z,162.66666666666666,2485.8,165.96666666666667,9656.039999999999,80.16666666666667,616.0,13.947268817204302,19.4832,286.0,343.0,171.0
177,2018-10-04T23:48:04Z,158.25,1676.959,169.44999999999996,6437.36,81.0,398.0,13.773077764565992,24.6888,247.0,214.0,213.0
178,2018-10-06T16:00:35Z,161.75,579.5749999999999,173.45,2129.33,82.5,120.0,14.008973994387278,26.1684,67.0,123.0,195.0
179,2018-10-07T12:37:47Z,154.57692307692307,11684.951,205.73076923076923,41842.84,82.0,2316.0,12.597666734693878,15.822,3633.0,3515.0,166.0
180,2018-10-17T22:25:44Z,158.33333333333334,1330.304,166.46666666666667,4828.0199999999995,80.33333333333333,325.0,13.054118754525708,18.2052,131.0,131.0,165.0
181,2018-10-18T22:57:12Z,149.4,2355.788,156.04000000000002,8046.7,80.0,492.0,12.732593223284102,16.9632,299.0,318.0,162.0
182,2018-10-22T23:46:17Z,170.0,1198.182,182.0,4828.0199999999995,80.33333333333333,295.0,14.884497520661156,24.0516,259.0,244.0,181.0
183,2018-10-26T22:49:46Z,151.8,2272.841,171.16000000000003,8046.7,80.4,523.0,12.989469955156952,15.786,204.0,180.0,165.0
184,2018-10-27T18:31:32Z,160.625,3530.06,175.45,12874.72,81.0,827.0,13.201389208834218,19.8504,474.0,471.0,171.0
185,2018-10-29T23:46:31Z,166.33333333333334,944.4789999999999,178.33333333333334,3763.0099999999998,80.33333333333333,237.0,14.237340680713126,16.290000000000003,156.0,149.0,173.0
186,2018-11-01T00:05:32Z,170.0,3916.6169999999997,181.14545454545453,6746.23,84.72727272727273,352.0,15.157664973419967,23.7492,218.0,236.0,178.0
187,2018-11-03T17:30:37Z,164.875,3628.255,168.17499999999998,12874.72,81.25,855.0,13.637582563510392,16.729200000000002,673.0,715.0,180.0
188,2018-11-06T00:47:22Z,162.33333333333334,1215.158,169.0,4828.0199999999995,81.33333333333333,287.0,15.063753794266445,19.6848,155.0,172.0,172.0
189,2018-11-09T17:44:16Z,157.75,1674.369,120.14999999999999,6437.36,80.5,399.0,13.87056111757858,23.58,946.0,1010.0,168.0
